ablation,ablation_protocol,channel,mode,psnr_mean,psnr_std,psnr_p10,psnr_p05,ssim_mean,ssim_std,ssim_p10,ssim_p05,latent_cosine_mean,latent_cosine_std,latent_cosine_p10,latent_cosine_p05,latent_cka_mean,latent_cka_std,latent_cka_p10,latent_cka_p05
single_expert,posthoc_eval_only,uma,diffusion_token,6.659151077270508,0.44428038597106934,6.0891876220703125,5.883215427398682,0.0164182186126709,0.0038640019483864307,0.011503436602652073,0.010265044867992401,0.8184965252876282,0.004585270769894123,0.8127086162567139,0.8107559084892273,0.9331677556037903,0.026350880041718483,0.894987940788269,0.8849060535430908
no_vq,posthoc_eval_only,awgn,diffusion_token,21.145055770874023,1.2979869842529297,19.49118995666504,18.97381591796875,0.45192191004753113,0.0670594871044159,0.3659517467021942,0.3431832194328308,0.9994629621505737,5.428790609585121e-05,0.9993907809257507,0.9993663430213928,0.800804615020752,0.09600421041250229,0.6759562492370605,0.6401348114013672
no_vq,posthoc_eval_only,rayleigh,diffusion_token,20.662443161010742,1.8261542320251465,18.650075912475586,17.84412384033203,0.43378281593322754,0.07389266788959503,0.34025445580482483,0.3125806748867035,0.9994642734527588,5.336693720892072e-05,0.9993932247161865,0.9993662238121033,0.7998148798942566,0.10272495448589325,0.6466066837310791,0.6189010143280029
no_vq,posthoc_eval_only,rician,diffusion_token,21.039926528930664,1.3106918334960938,19.403799057006836,18.939123153686523,0.4442751705646515,0.06756670773029327,0.3592025637626648,0.33814096450805664,0.9994640350341797,5.339060226106085e-05,0.9993903040885925,0.999366044998169,0.7989487648010254,0.09607967734336853,0.6568557024002075,0.624176025390625
no_vq,posthoc_eval_only,tdl,diffusion_token,20.808364868164062,1.4873236417770386,18.980287551879883,18.389108657836914,0.44031214714050293,0.06752854585647583,0.35778871178627014,0.33463671803474426,0.9994660019874573,5.1666338549694046e-05,0.9993974566459656,0.9993739128112793,0.7982407808303833,0.09639451652765274,0.6657635569572449,0.6319727301597595
no_vq,posthoc_eval_only,cdl,diffusion_token,21.154937744140625,1.3092546463012695,19.464561462402344,19.02735710144043,0.44872453808784485,0.06665349006652832,0.36199951171875,0.34003400802612305,0.999467670917511,5.3054103773320094e-05,0.9993958473205566,0.9993699789047241,0.7903133630752563,0.10739872604608536,0.6495658159255981,0.5970058441162109
no_vq,posthoc_eval_only,urban,diffusion_token,20.523807525634766,1.6338486671447754,18.51618003845215,17.680458068847656,0.43686556816101074,0.06809701770544052,0.3514552414417267,0.3219650983810425,0.9994630813598633,5.430502278613858e-05,0.9993925094604492,0.9993658661842346,0.7895593047142029,0.10577774047851562,0.6281037330627441,0.6018983125686646
no_vq,posthoc_eval_only,rural,diffusion_token,20.32811737060547,1.5941895246505737,18.386667251586914,17.676847457885742,0.43474671244621277,0.06686091423034668,0.3502078056335449,0.323682963848114,0.9994633197784424,5.226386565482244e-05,0.9993910789489746,0.9993677735328674,0.793912410736084,0.09548229724168777,0.6514710187911987,0.6055964231491089
no_vq,posthoc_eval_only,highway,diffusion_token,20.35024642944336,1.1892597675323486,18.84981918334961,18.388635635375977,0.42517754435539246,0.0627916157245636,0.343087762594223,0.32436779141426086,0.9994601011276245,5.2409373893169686e-05,0.999392032623291,0.9993671178817749,0.8026087880134583,0.0936373621225357,0.6772274971008301,0.6338486075401306
no_vq,posthoc_eval_only,umi,diffusion_token,20.85874366760254,1.5144022703170776,18.98662757873535,18.387189865112305,0.44210225343704224,0.06825078278779984,0.35351067781448364,0.3261963427066803,0.9994654059410095,5.3169245802564546e-05,0.9993963241577148,0.9993704557418823,0.8037910461425781,0.09717724472284317,0.6813521385192871,0.6220105290412903
no_vq,posthoc_eval_only,uma,diffusion_token,20.505516052246094,1.643821120262146,18.4908504486084,17.869277954101562,0.4338825047016144,0.06882529705762863,0.34306463599205017,0.3199421465396881,0.9994645118713379,5.3492229199036956e-05,0.9993941783905029,0.9993692636489868,0.7962705492973328,0.09527245163917542,0.6633533835411072,0.6257020235061646
