channel,snr_db,mode,psnr_mean,psnr_std,psnr_p10,psnr_p05,ssim_mean,ssim_std,ssim_p10,ssim_p05,latent_cosine_mean,latent_cosine_std,latent_cosine_p10,latent_cosine_p05,latent_cka_mean,latent_cka_std,latent_cka_p10,latent_cka_p05
awgn,20,tokenizer_cond,17.409183502197266,0.6148319840431213,16.725568771362305,16.532808303833008,0.25607261061668396,0.044584009796381,0.20477989315986633,0.18840497732162476,0.9996882081031799,2.019432940869592e-05,0.9996625781059265,0.9996523857116699,0.8984590172767639,0.049126703292131424,0.8270262479782104,0.8085883259773254
awgn,20,diffusion_no_token,17.41234016418457,0.609978199005127,16.719844818115234,16.5577392578125,0.2560594975948334,0.04429241642355919,0.2028997242450714,0.1900082379579544,0.9996883869171143,2.0471639800234698e-05,0.999663770198822,0.9996517896652222,0.9026192426681519,0.05097416043281555,0.8337283730506897,0.799967885017395
awgn,20,diffusion_token,25.36136817932129,1.6488333940505981,23.180810928344727,22.502925872802734,0.7015603184700012,0.06165936961770058,0.6222536563873291,0.5931124091148376,0.999929666519165,2.2075351807870902e-05,0.9999011158943176,0.9998895525932312,0.6787319779396057,0.10863953828811646,0.5453298091888428,0.504671573638916
rayleigh,0,baseline,16.42131233215332,2.0658581256866455,13.54139518737793,12.229679107666016,0.24263855814933777,0.05165212228894234,0.1794641613960266,0.1431627720594406,0.9997405409812927,2.814082836266607e-05,0.9997055530548096,0.999687910079956,0.9158459305763245,0.04169057682156563,0.8606832027435303,0.8322045803070068
rayleigh,0,tokenizer_cond,16.221996307373047,1.5153518915176392,14.621698379516602,12.812357902526855,0.20495136082172394,0.048690490424633026,0.14397375285625458,0.10713864862918854,0.9996793270111084,2.878561099350918e-05,0.9996446371078491,0.9996210336685181,0.8889696598052979,0.050508927553892136,0.8196642994880676,0.7890539169311523
rayleigh,0,diffusion_no_token,16.19116973876953,1.5088751316070557,14.470876693725586,12.559758186340332,0.20355917513370514,0.047728195786476135,0.14664003252983093,0.10775846242904663,0.999678909778595,2.8877813747385517e-05,0.9996415376663208,0.999625027179718,0.8931640386581421,0.05304578319191933,0.8147917985916138,0.7926598191261292
rayleigh,0,diffusion_token,20.88401222229004,2.922908067703247,16.933944702148438,14.200702667236328,0.5722020268440247,0.08451934158802032,0.4650557041168213,0.4147559702396393,0.9999149441719055,2.7841757400892675e-05,0.9998795390129089,0.9998626708984375,0.6236744523048401,0.11223041266202927,0.4903668463230133,0.4642690420150757
rayleigh,3,baseline,17.289676666259766,1.6749017238616943,15.429211616516113,13.96794605255127,0.26395273208618164,0.05011696740984917,0.2061063051223755,0.17947238683700562,0.9997462630271912,2.541738831496332e-05,0.9997129440307617,0.9996973276138306,0.9237344861030579,0.03774695843458176,0.8740946054458618,0.8519688248634338
rayleigh,3,tokenizer_cond,16.63730239868164,1.3245731592178345,15.653105735778809,14.084983825683594,0.2184814214706421,0.04744669795036316,0.165204256772995,0.14151233434677124,0.9996840953826904,2.7123483960167505e-05,0.9996507167816162,0.9996328353881836,0.8956405520439148,0.052056629210710526,0.8172792792320251,0.7975353002548218
rayleigh,3,diffusion_no_token,16.702022552490234,1.1687631607055664,15.725004196166992,14.726359367370605,0.22026382386684418,0.045849308371543884,0.16668210923671722,0.14933465421199799,0.99968421459198,2.508752186258789e-05,0.9996532201766968,0.9996362924575806,0.8995039463043213,0.04473702609539032,0.8425903916358948,0.8009005784988403
rayleigh,3,diffusion_token,22.183164596557617,2.5908138751983643,19.368837356567383,17.107648849487305,0.6072525978088379,0.0788915753364563,0.5134406685829163,0.4714406430721283,0.9999201893806458,2.607100577733945e-05,0.9998885989189148,0.9998687505722046,0.6422305107116699,0.11634799093008041,0.507218599319458,0.47225168347358704
rayleigh,6,baseline,17.869232177734375,1.3034310340881348,16.587230682373047,15.650861740112305,0.2787359654903412,0.04770505800843239,0.222105473279953,0.20395615696907043,0.9997511506080627,2.3136333766160533e-05,0.999721884727478,0.9997090101242065,0.9282904863357544,0.03459705412387848,0.8806453943252563,0.8579186201095581
rayleigh,6,tokenizer_cond,16.93792724609375,1.0654312372207642,16.150651931762695,15.71696949005127,0.2296566218137741,0.04522450640797615,0.17975355684757233,0.16192904114723206,0.9996868968009949,2.3764443540130742e-05,0.9996561408042908,0.9996428489685059,0.8968302607536316,0.05310817435383797,0.8182165622711182,0.7906802296638489
rayleigh,6,diffusion_no_token,16.95234489440918,1.0011236667633057,16.171676635742188,15.65898609161377,0.2296152412891388,0.04423370584845543,0.17921683192253113,0.16166403889656067,0.9996868371963501,2.2995351173449308e-05,0.9996578693389893,0.9996461868286133,0.8998974561691284,0.05166319012641907,0.8284769058227539,0.7970157861709595
rayleigh,6,diffusion_token,23.169340133666992,2.367501974105835,20.726245880126953,19.191492080688477,0.6320133209228516,0.07506339251995087,0.5408499836921692,0.500275731086731,0.9999235272407532,2.481428782630246e-05,0.9998944401741028,0.9998793601989746,0.6554854512214661,0.1195577010512352,0.5025973916053772,0.4743994176387787
rayleigh,9,baseline,18.193265914916992,1.1749922037124634,17.256399154663086,16.57470703125,0.2873142957687378,0.0482453815639019,0.2284841537475586,0.21248601377010345,0.9997539520263672,2.2268846805673093e-05,0.9997267127037048,0.9997127056121826,0.9225391149520874,0.03856530413031578,0.8701228499412537,0.8535642623901367
rayleigh,9,tokenizer_cond,17.10309410095215,0.8439146280288696,16.388769149780273,16.079345703125,0.23598909378051758,0.04338446632027626,0.18719960749149323,0.17253665626049042,0.999687910079956,2.2314172383630648e-05,0.9996609091758728,0.9996493458747864,0.895758330821991,0.050151243805885315,0.8311114311218262,0.8047768473625183
rayleigh,9,diffusion_no_token,17.10057830810547,0.875806450843811,16.39028549194336,16.073379516601562,0.23623260855674744,0.04390380159020424,0.1850612610578537,0.16803574562072754,0.999687910079956,2.2501690182252787e-05,0.9996602535247803,0.9996474981307983,0.8982967734336853,0.04836057499051094,0.8311441540718079,0.801613450050354
rayleigh,9,diffusion_token,23.880252838134766,2.1862499713897705,21.750198364257812,20.666719436645508,0.6530991792678833,0.0733477920293808,0.5648738741874695,0.5285878777503967,0.999925434589386,2.3861119188950397e-05,0.9998970031738281,0.9998809695243835,0.6491615176200867,0.11077378690242767,0.5222889184951782,0.4834757149219513
rayleigh,12,baseline,18.373512268066406,0.9267345070838928,17.47260093688965,17.12808609008789,0.2914755940437317,0.04654764011502266,0.23692917823791504,0.22105209529399872,0.9997557401657104,2.1038067643530667e-05,0.9997299909591675,0.9997171759605408,0.9261227250099182,0.0382150337100029,0.8727249503135681,0.8535512685775757
rayleigh,12,tokenizer_cond,17.229469299316406,0.6988722085952759,16.521121978759766,16.294187545776367,0.24212318658828735,0.04171033576130867,0.19170495867729187,0.1782459020614624,0.9996882677078247,2.1078545614727773e-05,0.9996625185012817,0.9996508359909058,0.8988786935806274,0.05181410163640976,0.832241952419281,0.8003966808319092
rayleigh,12,diffusion_no_token,17.21432876586914,0.7349136471748352,16.509130477905273,16.273792266845703,0.24128521978855133,0.04235028475522995,0.19223813712596893,0.1782066971063614,0.9996883869171143,2.2115587853477336e-05,0.9996607303619385,0.9996498823165894,0.9021866321563721,0.0436592660844326,0.8425002694129944,0.8128010034561157
rayleigh,12,diffusion_token,24.46446990966797,1.9299737215042114,22.24504852294922,21.45665740966797,0.6711359024047852,0.06832930445671082,0.5865333080291748,0.5557332634925842,0.999927282333374,2.2535483367391862e-05,0.9999001026153564,0.999884307384491,0.6345333456993103,0.1227196678519249,0.49383848905563354,0.4354372024536133
rayleigh,15,baseline,18.40340805053711,0.8471463322639465,17.565710067749023,17.198379516601562,0.29246363043785095,0.0459233894944191,0.23752278089523315,0.22187262773513794,0.9997556209564209,1.982842877623625e-05,0.9997310042381287,0.9997191429138184,0.9268181324005127,0.0383283793926239,0.8725613355636597,0.8463920950889587
rayleigh,15,tokenizer_cond,17.28119468688965,0.6692936420440674,16.61544418334961,16.387115478515625,0.2462378889322281,0.04316790774464607,0.19502060115337372,0.1819486916065216,0.9996885061264038,2.0881752789136954e-05,0.9996621608734131,0.9996519088745117,0.8997141718864441,0.05095279961824417,0.8374013304710388,0.7997717261314392
rayleigh,15,diffusion_no_token,17.295310974121094,0.6559606194496155,16.601776123046875,16.35979652404785,0.24678733944892883,0.04340817406773567,0.19557398557662964,0.18181832134723663,0.9996888041496277,2.04129028134048e-05,0.9996631145477295,0.9996520280838013,0.9002634882926941,0.047208212316036224,0.8347181677818298,0.8136536478996277
rayleigh,15,diffusion_token,24.807315826416016,1.833260416984558,22.5687255859375,21.762319564819336,0.6819780468940735,0.06630238145589828,0.5975499153137207,0.5622595548629761,0.9999282956123352,2.2452592020272277e-05,0.99989914894104,0.9998857975006104,0.6606586575508118,0.1226779893040657,0.5123180150985718,0.4804370701313019
rayleigh,18,baseline,18.4169921875,0.7906842827796936,17.63431739807129,17.347129821777344,0.2932257354259491,0.0458240732550621,0.23869450390338898,0.22454719245433807,0.9997556805610657,1.975400300580077e-05,0.9997312426567078,0.999719500541687,0.9262529015541077,0.037971772253513336,0.8758684396743774,0.8502330183982849
rayleigh,18,tokenizer_cond,17.331876754760742,0.6492079496383667,16.67498016357422,16.48642349243164,0.249372661113739,0.04306232929229736,0.1988494098186493,0.1858551949262619,0.9996887445449829,2.0412115190993063e-05,0.9996635317802429,0.9996511936187744,0.9034016728401184,0.04691287875175476,0.8422878384590149,0.8061613440513611
rayleigh,18,diffusion_no_token,17.328100204467773,0.6627124547958374,16.633270263671875,16.436859130859375,0.24946925044059753,0.04350695013999939,0.19743375480175018,0.18499942123889923,0.9996883273124695,2.0549088731058873e-05,0.9996638298034668,0.9996515512466431,0.9021559953689575,0.04588199034333229,0.8347073197364807,0.8157662153244019
